yourlist:M2022031492C7BAECDB1C5C413EE0E0348724B68245F46EG	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1uw6,1uv6,2zju,2zjv,3u8n,3u8m,3u8k,3u8j,3u8l,4alx,3zdh,3zdg,4qab,4qaa,4qac,4nzb,5afk,5afn,5afl,5afj,5afm,3wtn,3wtl,3wtm,3wto,3wtk,3wtj,3wth,3wti,4um1,4um3,5t90	P58154	ACHP_LYMST	reviewed	Acetylcholine-binding protein (ACh-binding protein) (AchBP)		Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	229
5ivt,5tys,5tyr	G0X8E8	G0X8E8_9HIV1	unreviewed	Pol protein (Fragment)	pol	Human immunodeficiency virus 1	132
3ies,4e5d,5wys	P08659	LUCI_PHOPY	reviewed	Luciferin 4-monooxygenase (Luciferase) (EC 1.13.12.7)		Photinus pyralis (Common eastern firefly) (Lampyris pyralis)	550
5mm9	B5KVR9	B5KVR9_PSEAI	unreviewed	Metallo-beta-lactamase VIM-17	blaVIM-17	Pseudomonas aeruginosa	266
4f7l,4f6w,4f7n,4f6u,4f70,4f6s,4f7j,4crl,5bnj,5i5z,5fgk,5hvy,5hbe,5hbj,5idn,5icp,5idp,5hbh,5cei,5xs2,5xqx	P24863	CCNC_HUMAN	reviewed	Cyclin-C (SRB11 homolog) (hSRB11)	CCNC	Homo sapiens (Human)	283
4f7l,4f6w,4f7n,4f6u,4f70,4f6s,4f7j,4crl,5bnj,5i5z,5fgk,5hvy,5hbe,5hbj,5idn,5icp,5idp,5hbh,5cei,5xs2,5xqx	P49336	CDK8_HUMAN	reviewed	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35)	CDK8	Homo sapiens (Human)	464
1hs6,3chs,3chq,3cho,3chp,3chr,3b7u,3b7r,2vj8,2r59,3fui,3fun,3ftw,3fu6,3ftv,3fu3,3fue,3fum,3fuf,3fuh,3fud,3fts,3fuj,3ftu,3fu0,3fty,3fu5,3fuk,3fh8,3ful,3fhe,3fh5,3ftz,3fh7,4l2l,5aen,5bpp,5n3w	P09960	LKHA4_HUMAN	reviewed	Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)	LTA4H LTA4	Homo sapiens (Human)	611
2wuf,5jzb,5jzs	P9WNH5	HSAD_MYCTU	reviewed	4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase (EC 3.7.1.17) (2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase) (HOPDA hydrolase) (EC 3.7.1.8) (Meta-cleavage product hydrolase) (MCP hydrolase)	hsaD bphD Rv3569c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	291
5jyy,5l15,5l17	R4NFR6	R4NFR6_9INFA	unreviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza A virus (A/Shanghai/02/2013(H7N9))	465
5usf	E9BC28	E9BC28_LEIDB	unreviewed	Tyrosyl-tRNA synthetase, putative	LDBPK_141460	Leishmania donovani (strain BPK282A1)	682
5lub	Q99538	LGMN_HUMAN	reviewed	Legumain (EC 3.4.22.34) (Asparaginyl endopeptidase) (Protease, cysteine 1)	LGMN PRSC1	Homo sapiens (Human)	433
5kgn	G5EFZ1	GPMI_CAEEL	reviewed	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (iPGM) (EC 5.4.2.12) (Cofactor-independent phosphoglycerate mutase homolog)	ipgm-1 F57B10.3	Caenorhabditis elegans	539
3qzq,5gso,5gsw	E7E815	E7E815_HE71	unreviewed	Genome polyprotein (Fragment)		Human enterovirus 71 (EV71) (EV-71)	183
3fql,3q0z,4nld,4u01,5trj,5trk,5trh,5tri,5pzn,5pzm	Q9WMX2	POLG_HCVCO	reviewed	Genome polyprotein [Cleaved into: Core protein precursor (Capsid protein C) (p23); Mature core protein (p21); Envelope glycoprotein E1 (gp32) (gp35); Envelope glycoprotein E2 (NS1) (gp68) (gp70); Viroporin p7; Protease NS2 (p23) (EC 3.4.22.-); Serine protease/helicase NS3 (EC 3.4.21.98) (EC 3.6.1.15) (EC 3.6.4.13) (Hepacivirin) (NS3 helicase) (NS3 protease) (NS3P) (Viroporin p70); Non-structural protein 4A (NS4A) (p8); Non-structural protein 4B (NS4B) (p27); Non-structural protein 5A (NS5A) (p56/58); RNA-directed RNA polymerase (EC 2.7.7.48) (NS5B) (p68)]		Hepatitis C virus genotype 1b (isolate Con1) (HCV)	3010
5j9k	Q2RBP2	D53_ORYSJ	reviewed	Protein DWARF 53	D53 Os11g0104300 LOC_Os11g01330 OsJ_32651	Oryza sativa subsp. japonica (Rice)	1131
5c7e,5c7f,5c6v,5j9k	Q5NBT9	TPR1_ORYSJ	reviewed	Protein TPR1 (Aberrant spikelet and panicle1-related 2) (Protein ASP1-RELATED 2) (OsASPR2) (Topless-related protein 1) (Topless-related protein 2) (OsTPR2)	TPR1 ASPR2 TPR2 Os01g0254100 LOC_Os01g15020 OsJ_01134 OSNPB_010254100 P0705D01.10-1	Oryza sativa subsp. japonica (Rice)	1129
5v3y,5v42,5v3x,5v41,5v40	I6X8D2	PKS13_MYCTU	reviewed	Polyketide synthase Pks13 (EC 2.3.1.-)	pks13 Rv3800c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1733
3fzs,3fzr,3h3c,3et7,3fzt,4h1j,4h1m,3u3f,4xek,5to8,5tob	Q14289	FAK2_HUMAN	reviewed	Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK)	PTK2B FAK2 PYK2 RAFTK	Homo sapiens (Human)	1009
5k8v,5lgr,5lgs,5lgq,5lgp,5tbj	Q9WVG6	CARM1_MOUSE	reviewed	Histone-arginine methyltransferase CARM1 (EC 2.1.1.319) (Coactivator-associated arginine methyltransferase 1) (Protein arginine N-methyltransferase 4)	Carm1 Prmt4	Mus musculus (Mouse)	608
1rne,1hrn,1bil,1bim,2g1y,2g1r,2bkt,2bks,2g24,2iko,2iku,2il2,2v10,2v0z,2v12,2v11,2v13,2v16,3d91,3g6z,3gw5,3g70,3g72,3oad,3oag,3km4,3oot,3oqk,3oqf,3own,3o9l,3q4b,3q5h,3q3t,3sfc,3vsx,3vyf,3vsw,3vyd,3vye,4gjd,4gjc,4gj7,3vuc,4gja,4gj6,4gjb,4gj8,4gj9,4q1n,4pyv,4ryg,4rz1,4ryc,4s1g,4xx4,4xx3,5koq,5kos,5sxn,5sy2,5sz9,5sy3,5v8v,5vrp,5vpm	P00797	RENI_HUMAN	reviewed	Renin (EC 3.4.23.15) (Angiotensinogenase)	REN	Homo sapiens (Human)	406
5wre,5t2p	L7R9I1	L7R9I1_HBV	unreviewed	Capsid protein (Core antigen) (Core protein) (HBcAg) (p21.5)	C	Hepatitis B virus (HBV)	183
5fah,5yjk,5y9l	P49862	KLK7_HUMAN	reviewed	Kallikrein-7 (hK7) (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE)	KLK7 PRSS6 SCCE	Homo sapiens (Human)	253
5gn5,5gn6	D3KVM3	D3KVM3_TRYBG	unreviewed	Glycerol kinase (EC 2.7.1.30)	gk	Trypanosoma brucei gambiense	512
5gmi	Q9D8B7	JAM3_MOUSE	reviewed	Junctional adhesion molecule C (JAM-C) (JAM-2) (Junctional adhesion molecule 3) (JAM-3) [Cleaved into: Soluble form of JAM-C (sJAM-C)]	Jam3	Mus musculus (Mouse)	310
3gss,2gss,10gs,11gs,13gs,1lbk,2j9h,3dgq,3ie3,3hjo,3gus,5j41,5x79	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
5myd	A0A2D0TC86	A0A2D0TC86_9STAP	unreviewed	dUTPase (EC 3.6.1.23)	HMPREF2930_08375	Staphylococcus sp. HMSC068C09	187
5ne3	B2FRP5	B2FRP5_STRMK	unreviewed	Beta-lactamase (EC 3.5.2.6)	Smlt3722	Stenotrophomonas maltophilia (strain K279a)	303
5kv9,5kv8	G8G134	G8G134_9MONO	unreviewed	Hemagglutinin-neuraminidase (EC 3.2.1.18)	HN	Human respirovirus 3	572
4rsc,4rse,5ul5,5ulg	Q28175	RPE65_BOVIN	reviewed	Retinoid isomerohydrolase (EC 3.1.1.64) (All-trans-retinyl-palmitate hydrolase) (Lutein isomerase) (Meso-zeaxanthin isomerase) (EC 5.3.3.22) (Retinal pigment epithelium-specific 65 kDa protein) (Retinol isomerase)	RPE65	Bos taurus (Bovine)	533
5lx6	Q53GL7	PAR10_HUMAN	reviewed	Protein mono-ADP-ribosyltransferase PARP10 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 10) (ARTD10) (Poly [ADP-ribose] polymerase 10) (PARP-10)	PARP10	Homo sapiens (Human)	1025
4wp7,4wpn,5l2m,5l2o,5l2n	P00352	AL1A1_HUMAN	reviewed	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)	501
5h6v	H8XX12	H8XX12_ZIKV	unreviewed	Genome polyprotein (Fragment)		Zika virus (ZIKV)	3417
5lhu	P9WMN1	HIS1_MYCTU	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG Rv2121c MTCY261.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	284
5k5c	A0A117IMA6	A0A117IMA6_MYCTH	unreviewed	Alpha,alpha-trehalose-phosphate synthase (ADP-forming) (EC 2.4.1.347)	RMCT_1906	Mycolicibacterium thermoresistibile (Mycobacterium thermoresistibile)	486
5mja,5mjb	P54762	EPHB1_HUMAN	reviewed	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	Homo sapiens (Human)	984
4s2i,5t66	G3G192	G3G192_KLEPN	unreviewed	Beta-lactamase (EC 3.5.2.6)	blaCTX-M-15	Klebsiella pneumoniae	311
5myv	P78362	SRPK2_HUMAN	reviewed	SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]	SRPK2	Homo sapiens (Human)	688
3hf6,3hfb,3hf8,5j6d,5tpg,5l01	P17752	TPH1_HUMAN	reviewed	Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1)	TPH1 TPH TPRH TRPH	Homo sapiens (Human)	444
1uu3,1uu7,1uvr,1uu9,1okz,1oky,1uu8,1w1g,1w1d,1z5m,2pe2,2pe1,2pe0,2r7b,3h9o,3hrf,3iop,2xch,2xck,3ion,3qcq,3qcs,3rcj,3qd3,3nuu,3qcy,3qc4,3qd0,3nus,3nuy,3sc1,3qd4,3qcx,3rwp,3rwq,4rqk,4rrv,4rqv,4xx9,5hkm,5ho8,5ho7,5hng,5lvl,5lvn,5mrd	O15530	PDPK1_HUMAN	reviewed	3-phosphoinositide-dependent protein kinase 1 (hPDK1) (EC 2.7.11.1)	PDPK1 PDK1	Homo sapiens (Human)	556
5h22	P07901	HS90A_MOUSE	reviewed	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	Hsp90aa1 Hsp86 Hsp86-1 Hspca	Mus musculus (Mouse)	733
3e7b,3e7a,3n5u,6alz	P62136	PP1A_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)	330
4kmu,4kn7,4kn4,4mex,4zh2,4xsz,4zh3,4zh4,4xsx,4xsy,5uac,5ual,5uah	P00579	RPOD_ECOLI	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613
4kmu,4kn7,4kn4,4mex,4zh2,4xsz,4zh3,4zh4,4xsx,4xsy,5uac,5ual,5uah	P0A7Z4	RPOA_ECOLI	reviewed	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA pez phs sez b3295 JW3257	Escherichia coli (strain K12)	329
4kmu,4kn7,4kn4,4mex,4zh2,4xsz,4zh3,4zh4,4xsx,4xsy,5uac,5ual,5uah	P0A800	RPOZ_ECOLI	reviewed	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ b3649 JW3624	Escherichia coli (strain K12)	91
4kmu,4kn7,4kn4,4mex,4zh2,4xsz,4zh3,4zh4,4xsx,4xsy,5uac,5ual,5uah	P0A8T7	RPOC_ECOLI	reviewed	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC tabB b3988 JW3951	Escherichia coli (strain K12)	1407
4kmu,4kn7,4kn4,4mex,4zh2,4xsz,4zh3,4zh4,4xsx,4xsy,5uac,5ual,5uah	P0A8V2	RPOB_ECOLI	reviewed	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB groN nitB rif ron stl stv tabD b3987 JW3950	Escherichia coli (strain K12)	1342
3lc5,3lc3,4z0k,5egm,4zae,4yzu,5tnt	P00740	FA9_HUMAN	reviewed	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	F9	Homo sapiens (Human)	461
1ms6,1npz,1nqc,2hh5,2f1g,2r9m,2op3,2hhn,3iej,3ovx,3n3g,3n4c,4p6e,4p6g,5qc4,5qbv,5qby	P25774	CATS_HUMAN	reviewed	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331
4yl0,4yl3,4yk5,4yl1,5bqh,5k0i,5bqi,5bqg,5t37,5tl9,5t36	O14684	PTGES_HUMAN	reviewed	Prostaglandin E synthase (EC 5.3.99.3) (Glutathione peroxidase PTGES) (EC 1.11.1.-) (Glutathione transferase PTGES) (EC 2.5.1.18) (Microsomal glutathione S-transferase 1-like 1) (MGST1-L1) (Microsomal prostaglandin E synthase 1) (MPGES-1) (p53-induced gene 12 protein)	PTGES MGST1L1 MPGES1 PGES PIG12	Homo sapiens (Human)	152
1ymx,1ym1,1yms,3g35,3g32,3g34,3g31,3g2y,3g30,3g2z,4de1,4de0,4ddy,4de3,4de2,4dds,4len,5ujo	Q9L5C8	Q9L5C8_ECOLX	unreviewed	Beta-lactamase (EC 3.5.2.6)	blaCTX-M-9a bla CTX-M-9 blaCTX-M-9 blaCTX-M-9b RCS51_P0174	Escherichia coli	291
5l6h,5l6j,5l6i	P05759	RS31_YEAST	reviewed	Ubiquitin-40S ribosomal protein S31 [Cleaved into: Ubiquitin; 40S ribosomal protein S31 (CEP76) (S37) (Small ribosomal subunit protein eS31) (YS24)]	RPS31 RPS37 UBI3 YLR167W L9470.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	152
5l6h,5l6j,5l6i	P22515	UBA1_YEAST	reviewed	Ubiquitin-activating enzyme E1 1 (EC 6.2.1.45)	UBA1 YKL210W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1024
5urk,5urj,5urm	O75643	U520_HUMAN	reviewed	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)	SNRNP200 ASCC3L1 HELIC2 KIAA0788	Homo sapiens (Human)	2136
5v5e,5v5d	O40922	O40922_HHV8	unreviewed	Capsid scaffolding protein (Protease precursor) (pPR) [Cleaved into: Assemblin (EC 3.4.21.97) (Protease); Assembly protein (Capsid assembly protein)]	ORF17	Human herpesvirus 8 (HHV-8) (Kaposi's sarcoma-associated herpesvirus)	553
5ml0	Q9JHD1	KAT2B_MOUSE	reviewed	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	Kat2b Pcaf	Mus musculus (Mouse)	813
2w68,6eks,6eku	P0C6E9	NANH_VIBCH	reviewed	Sialidase (EC 3.2.1.18) (Neuraminidase) (NANase)	nanH VC_1784	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	781
2nsx,2v3e,2v3d,2wcg,2xwd,2xwe,3ril,3rik,5lvx	P04062	GLCM_HUMAN	reviewed	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	GBA GC GLUC	Homo sapiens (Human)	536
5tyn,5tyl,5tyk,5typ,5tyj,5tyo	Q25252	Q25252_LUCCU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)	LcaE7	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	570
4yb7,4yb5,4yb6,5ubg	Q5HSJ4	HIS1_CAMJR	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG CJE1769	Campylobacter jejuni (strain RM1221)	299
3g2v,3g2u,4n7e,4msl,4po7,5mri,5mrh	Q99523	SORT_HUMAN	reviewed	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	SORT1	Homo sapiens (Human)	831
1oko,2vxj,2wyf,3zyf,3zyb,3zyh,4a6s,4ljh,4lkf,4lke,4lkd,4lk6,4lk7,4yw7,4ywa,5d21,4yw6,5mih	Q05097	PA1L_PSEAE	reviewed	PA-I galactophilic lectin (PA-IL) (Galactose-binding lectin)	lecA pa1L PA2570	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	122
5v7i	P34897	GLYM_HUMAN	reviewed	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT2	Homo sapiens (Human)	504
1h2k,1yci,2w0x,2wa4,2wa3,2yc0,2yde,4ai8,4bio,5op6,5opc,5op8	Q9NWT6	HIF1N_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha inhibitor (EC 1.14.11.30) (EC 1.14.11.n4) (Factor inhibiting HIF-1) (FIH-1) (Hypoxia-inducible factor asparagine hydroxylase)	HIF1AN FIH1	Homo sapiens (Human)	349
2c0o,2hk5,2oi3,3vs3,3vry,5h0g,5h0b,5h09,5h0e,5h0h	P08631	HCK_HUMAN	reviewed	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)	HCK	Homo sapiens (Human)	526
5ogk	P40107	GMT1_YEAST	reviewed	GDP-mannose transporter 1 (GMT 1) (Low dye-binding protein 3) (Morphogenesis checkpoint-dependent protein 3) (Vanadate resistance glycosylation protein 4)	VRG4 GOG5 LDB3 MCD3 VAN2 VIG4 YGL225W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337
5t2y,5tyh	Q0P9D1	PGLD_CAMJE	reviewed	UDP-N-acetylbacillosamine N-acetyltransferase (EC 2.3.1.203) (Protein glycosylation D) (UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine N-acetyltransferase)	pglD Cj1123c	Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)	195
5gmi,5gmj	Q99JX3	GORS2_MOUSE	reviewed	Golgi reassembly-stacking protein 2 (GRS2) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55)	Gorasp2	Mus musculus (Mouse)	451
5gmj	Q9JI59	JAM2_MOUSE	reviewed	Junctional adhesion molecule B (JAM-B) (Junctional adhesion molecule 2) (JAM-2) (Vascular endothelial junction-associated molecule) (VE-JAM) (CD antigen CD322)	Jam2 Vejam	Mus musculus (Mouse)	298
1s9v,5ksv,5ksu	P01909	DQA1_HUMAN	reviewed	HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)	HLA-DQA1	Homo sapiens (Human)	254
3qxd,5ksv,5ksu	P04233	HG2A_HUMAN	reviewed	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]	CD74 DHLAG	Homo sapiens (Human)	296
5ksv,5ksu	Q5Y7D3	Q5Y7D3_HUMAN	unreviewed	HLA class II histocompatibility antigen DQ beta chain (HLA class II histocompatibility antigen, DQ beta 1 chain) (MHC class II antigen)	HLA-DQB1	Homo sapiens (Human)	261
5ur5,5ur6	O49686	PYR1_ARATH	reviewed	Abscisic acid receptor PYR1 (ABI1-binding protein 6) (Protein PYRABACTIN RESISTANCE 1) (Regulatory components of ABA receptor 11)	PYR1 ABIP6 RCAR11 At4g17870 T6K21.50	Arabidopsis thaliana (Mouse-ear cress)	191
6bfn	P51617	IRAK1_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	Homo sapiens (Human)	712
4l3p,4l53,4l52,4gs6,4o91,5jgd,5jgb,5jga,5e7r,5gjf,5gjg,5gjd,5jh6,5j9l,5j8i,5j7s,5jk3,5v5n	O43318	M3K7_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	606
4ay5,4ay6,4l3p,4l53,4l52,4gs6,4o91,5jgd,5jgb,5jga,5e7r,5gjf,5gjg,5gjd,5jh6,5j9l,5j8i,5j7s,5jk3,5v5n	Q15750	TAB1_HUMAN	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1)	TAB1 MAP3K7IP1	Homo sapiens (Human)	504
3dct,3fxv,3okh,3oki,3olf,3omm,3ook,3oof,4oiv,5q0m,5q1c,5q0n,5q15,5q1a,5q16,5q0v,5q14,5q0o,5q0p,5q0x,5q1b,5q19,5q0w,5q0s,5q18,5q1f,5q13,5q1e,5q0u,5q0j,5q1i,5q1d,5q0q,5q0z,5q0y,5iaw,5q1g,5q0r,5q0t,5q0l,5q12,5q17,5q0i,5q10,5q11,5q1h,5ick	Q96RI1	NR1H4_HUMAN	reviewed	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	NR1H4 BAR FXR HRR1 RIP14	Homo sapiens (Human)	486
5xvq	F7ERX8	F7ERX8_MACMU	unreviewed	Nicotinamide N-methyltransferase	NNMT EGK_06915	Macaca mulatta (Rhesus macaque)	264
4jbs,5ab0,5k1v,5j6s	Q6P179	ERAP2_HUMAN	reviewed	Endoplasmic reticulum aminopeptidase 2 (EC 3.4.11.-) (Leukocyte-derived arginine aminopeptidase) (L-RAP)	ERAP2 LRAP	Homo sapiens (Human)	960
4b9z,5i24,5i23,5npd,5npb,5npe,5npc	B3PEE6	OL4AG_CELJU	reviewed	Oligosaccharide 4-alpha-D-glucosyltransferase (EC 2.4.1.161) (Alpha-glucosidase 31B) (CJAgd31B)	agd31B CJA_3248	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	816
1eei,1pzj,5lzh	Q57193	Q57193_VIBCL	unreviewed	Cholera enterotoxin B-subunit (Cholera enterotoxin subunit B) (Cholera toxin B protein (CTB)) (Cholera toxin B subunit) (Cholera toxin beta subunit) (Cholera toxin subunit B) (Cholerae toxin B subunit) (CtxB)	ctxB ERS013165_03981 ERS013202_03762 ERS013206_03003 ERS013207_03244	Vibrio cholerae	124
5jur	Q30NP1	PB2_I75A0	reviewed	Polymerase basic protein 2 (RNA-directed RNA polymerase subunit P3)	PB2	Influenza A virus (strain A/Beijing/39/1975 H3N2)	759
5org	P0A4F8	OCCT_RHIRD	reviewed	Octopine-binding periplasmic protein	occT occJ	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	276
6euw	Q2LG68	Q2LG68_9INFA	unreviewed	Polymerase basic protein 2 (Fragment)	PB2	Influenza A virus (A/duck/Shantou/4610/2003(H5N1))	759
5vr8	O60701	UGDH_HUMAN	reviewed	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	UGDH	Homo sapiens (Human)	494
5unj	O00482	NR5A2_HUMAN	reviewed	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
5w10	Q72MQ6	Q72MQ6_LEPIC	unreviewed	cGMP-specific phosphodiesterase	LIC_13137	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni (strain Fiocruz L1-130)	327
5n69	P85100	MYL3_BOVIN	reviewed	Myosin light chain 3 (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB)	MYL3	Bos taurus (Bovine)	199
5n69	Q9BE39	MYH7_BOVIN	reviewed	Myosin-7 (Myosin heavy chain 7) (Myosin heavy chain slow isoform) (MyHC-slow) (Myosin heavy chain, cardiac muscle beta isoform) (MyHC-beta)	MYH7	Bos taurus (Bovine)	1935
